sentence,item_start,item_end,amount_start,amount_end
"Yesterday, Spent 16535 INR on purchasing fertilizer for my farm.",41,51,17,22
"Just now, The expense for greenhouse setup was 20145 rupees.",26,42,47,52
"In the evening, Last week, tractor repair was sold for 24634 rupees.",27,41,55,60
"Just now, Harvested pesticide and sold for 33976 rupees.",20,29,43,48
"Early morning, Around noon, I spent 12508 rupees on irrigation pipe.",52,67,36,41
"In the evening, The cost of organic compost was 20895 rupees.",28,43,48,53
"Early morning, Received 19897 rupees from selling irrigation pipe.",50,65,24,29
"Last month, Cost of pesticide amounted to 30357 rupees.",20,29,42,47
"Today, Paid 38140 rupees to buy banana plants.",32,45,12,17
"During the season, Harvested greenhouse setup and sold for 35515 rupees.",29,45,59,64
"In the evening, Cost of rice seeds amounted to 162 rupees.",24,34,47,50
"Today, Acquired irrigation pipe by paying 23585 rupees.",16,31,42,47
"Around noon, I spent 8558 rupees on greenhouse setup.",36,52,21,25
"Today, Harvested harvesting machine and sold for 20242 rupees.",17,35,49,54
"During the season, Used 30677 rupees to buy poultry feed.",44,56,24,29
"Today, I spent 18806 rupees on coconut trees last month.",31,44,15,20
"Last month, Used 20224 rupees to buy coconut trees.",37,50,17,22
"Today, Spent 29499 INR on purchasing irrigation pipe for my farm.",37,52,13,18
"Recently, Bought pesticide today and paid 12295 rupees.",17,26,42,47
"Just now, Amount paid for solar water pump was 33230 rupees.",26,42,47,52
"Recently, I invested 42415 rupees for buying irrigation pipe.",45,60,21,26
"In the evening, I spent 41619 rupees on fertilizer last month.",40,50,24,29
"Yesterday, Harvest of harvesting machine brought in 3506 INR.",22,40,52,56
"In the evening, The cost of wheat seeds was 19143 rupees.",28,39,44,49
"Yesterday, Sold duck feed in the market and earned 47188 rupees.",16,25,51,56
I invested 25575 rupees for buying duck feed.,35,44,11,16
"Last month, The cost of tractor repair was 37855 rupees.",24,38,43,48
"Last month, The cost of mango saplings was 34573 rupees.",24,38,43,48
"In the evening, Harvest of pesticide brought in 24608 INR.",27,36,48,53
"In the evening, The cost of wheat seeds was 22501 rupees.",28,39,44,49
"On Monday, Used 40086 rupees to buy cow.",36,39,16,21
"During the season, Bought tractor repair today and paid 6366 rupees.",26,40,56,60
"During the season, Cost of mango saplings amounted to 26658 rupees.",27,41,54,59
"Yesterday, Used 27483 rupees to buy coconut trees.",36,49,16,21
"In the evening, Amount paid for irrigation pipe was 43549 rupees.",32,47,52,57
Used 47494 rupees to buy greenhouse setup.,25,41,5,10
"Just now, Last week, poultry feed was sold for 20618 rupees.",21,33,47,52
"Yesterday, Amount paid for greenhouse setup was 26521 rupees.",27,43,48,53
"Today, Purchased goat at 27654 rupees.",17,21,25,30
"During the season, Acquired mango saplings by paying 28412 rupees.",28,42,53,58
"On Monday, Last week, coconut trees was sold for 6197 rupees.",22,35,49,53
"Last month, Harvested tomato plants and sold for 8988 rupees.",22,35,49,53
"Just now, Harvest of mango saplings brought in 6245 INR.",21,35,47,51
"Yesterday, Harvest of organic compost brought in 1692 INR.",22,37,49,53
"Last month, Last week, tomato plants was sold for 15267 rupees.",23,36,50,55
"Today, The cost of poultry feed was 6445 rupees.",19,31,36,40
"Yesterday, Spent 31978 INR on purchasing organic compost for my farm.",41,56,17,22
"Recently, Harvest of poultry feed brought in 49507 INR.",21,33,45,50
"On Monday, Harvested poultry feed and sold for 759 rupees.",21,33,47,50
"In the evening, Around noon, I spent 2626 rupees on jamun saplings.",52,66,37,41
"Today, Acquired mango saplings by paying 26578 rupees.",16,30,41,46
"During the season, I gave 5774 rupees as investment for pesticide.",56,65,26,30
"In the evening, Paid 31554 rupees to buy mango saplings.",41,55,21,26
"Today, Invested 29721 for purchasing wheat seeds.",37,48,16,21
"Today, Bought poultry feed today and paid 44853 rupees.",14,26,42,47
"Today, Around noon, I spent 9994 rupees on duck feed.",43,52,28,32
"Yesterday, Acquired tomato plants by paying 40040 rupees.",20,33,44,49
Harvested rice seeds and sold for 37675 rupees.,10,20,34,39
"On Monday, I invested 47397 rupees for buying coconut trees.",46,59,22,27
"Early morning, Purchased solar water pump at 3405 rupees.",25,41,45,49
"Yesterday, I gave 1403 rupees as investment for mango saplings.",48,62,18,22
"Today, Sold jamun saplings in the market and earned 28671 rupees.",12,26,52,57
"In the evening, The cost of jamun saplings was 23198 rupees.",28,42,47,52
"During the season, Harvest of irrigation pipe brought in 37105 INR.",30,45,57,62
"Yesterday, Sold rice seeds in the market and earned 4005 rupees.",16,26,52,56
"Just now, I gave 9982 rupees as investment for wheat seeds.",47,58,17,21
"Early morning, Amount paid for irrigation pipe was 16187 rupees.",31,46,51,56
"Early morning, Bought onion seeds today and paid 32886 rupees.",22,33,49,54
Spent 43703 INR on purchasing onion seeds for my farm.,30,41,6,11
Paid 37763 rupees to buy tractor repair.,25,39,5,10
Used 30940 rupees to buy solar water pump.,25,41,5,10
Bought tomato plants today and paid 660 rupees.,7,20,36,39
"Today, Around noon, I spent 31554 rupees on coconut trees.",44,57,28,33
"Yesterday, I gave 13334 rupees as investment for tomato plants.",49,62,18,23
"Recently, The expense for greenhouse setup was 40501 rupees.",26,42,47,52
"Recently, Used 724 rupees to buy wheat seeds.",33,44,15,18
"During the season, The cost of mango saplings was 42190 rupees.",31,45,50,55
"In the evening, I spent 29161 rupees on harvesting machine last month.",40,58,24,29
"On Monday, The cost of poultry feed was 33873 rupees.",23,35,40,45
"Yesterday, Bought harvesting machine today and paid 12851 rupees.",18,36,52,57
"During the season, Used 4277 rupees to buy coconut trees.",43,56,24,28
"In the evening, Used 17126 rupees to buy fertilizer.",41,51,21,26
"Early morning, The expense for poultry feed was 37642 rupees.",31,43,48,53
"Early morning, Acquired mango saplings by paying 33411 rupees.",24,38,49,54
"On Monday, Purchased onion seeds at 47494 rupees.",21,32,36,41
"Today, Spent 33508 INR on purchasing goat for my farm.",37,41,13,18
"Last month, Harvested jamun saplings and sold for 43326 rupees.",22,36,50,55
"In the evening, Harvest of greenhouse setup brought in 47397 INR.",27,43,55,60
"Last month, Harvested fertilizer and sold for 23978 rupees.",22,32,46,51
Sold jamun saplings in the market and earned 33508 rupees.,5,19,45,50
"On Monday, Last week, greenhouse setup was sold for 19960 rupees.",22,38,52,57
"Recently, Paid 15280 rupees to buy harvesting machine.",35,53,15,20
Harvested jamun saplings and sold for 3127 rupees.,10,24,38,42
"Early morning, Around noon, I spent 36381 rupees on greenhouse setup.",52,68,36,41
"Today, Used 27483 rupees to buy cow.",32,35,12,17
"Today, Spent 43173 INR on purchasing onion seeds for my farm.",37,48,13,18
"In the evening, The expense for tractor repair was 8643 rupees.",32,46,51,55
"Just now, The expense for irrigation pipe was 14801 rupees.",26,41,46,51
Acquired coconut trees by paying 5040 rupees.,9,22,33,37
"During the season, I invested 4480 rupees for buying onion seeds.",53,64,30,34
"On Monday, Used 9982 rupees to buy greenhouse setup.",35,51,16,20
"Last month, Purchased harvesting machine at 537 rupees.",22,40,44,47
"During the season, Harvest of wheat seeds brought in 17311 INR.",30,41,53,58
"Early morning, Last week, mango saplings was sold for 30035 rupees.",26,40,54,59
"During the season, Acquired tomato plants by paying 33734 rupees.",28,41,52,57
"Today, Last week, tomato plants was sold for 5321 rupees.",18,31,45,49
"Last month, I gave 49747 rupees as investment for wheat seeds.",50,61,19,24
"Early morning, Used 16641 rupees to buy cow.",40,43,20,25
"Last month, Bought rice seeds today and paid 9107 rupees.",19,29,45,49
"Today, Harvest of pesticide brought in 7655 INR.",18,27,39,43
Received 38940 rupees from selling jamun saplings.,35,49,9,14
Invested 4842 for purchasing solar water pump.,29,45,9,13
"Today, Bought fertilizer today and paid 1697 rupees.",14,24,40,44
"On Monday, I invested 49300 rupees for buying coconut trees.",46,59,22,27
"On Monday, Sold tomato plants in the market and earned 24824 rupees.",16,29,55,60
"Early morning, Paid 11054 rupees to buy poultry feed.",40,52,20,25
"In the evening, Paid 41926 rupees to buy mango saplings.",41,55,21,26
I spent 44237 rupees on jamun saplings last month.,24,38,8,13
"In the evening, Around noon, I spent 39171 rupees on rice seeds.",53,63,37,42
"Yesterday, Harvested jamun saplings and sold for 35384 rupees.",21,35,49,54
"Early morning, I spent 809 rupees on poultry feed last month.",37,49,23,26
Harvested goat and sold for 33142 rupees.,10,14,28,33
"Last month, Spent 10741 INR on purchasing wheat seeds for my farm.",42,53,18,23
"In the evening, Purchased wheat seeds at 22836 rupees.",26,37,41,46
"Just now, Last week, poultry feed was sold for 8558 rupees.",21,33,47,51
Invested 19315 for purchasing coconut trees.,30,43,9,14
"During the season, Paid 38553 rupees to buy tomato plants.",44,57,24,29
"In the evening, I invested 3464 rupees for buying tomato plants.",50,63,27,31
Paid 16349 rupees to buy tomato plants.,25,38,5,10
"Today, I gave 8394 rupees as investment for rice seeds.",44,54,14,18
"On Monday, Spent 4310 INR on purchasing greenhouse setup for my farm.",40,56,17,21
"Recently, Harvest of tractor repair brought in 8394 INR.",21,35,47,51
"Yesterday, Paid 20448 rupees to buy coconut trees.",36,49,16,21
"During the season, Sold banana plants in the market and earned 40596 rupees.",24,37,63,68
"Recently, Bought solar water pump today and paid 41805 rupees.",17,33,49,54
"During the season, The expense for onion seeds was 31017 rupees.",35,46,51,56
"Last month, Amount paid for coconut trees was 37472 rupees.",28,41,46,51
"Recently, The expense for solar water pump was 1697 rupees.",26,42,47,51
"Last month, The expense for harvesting machine was 46222 rupees.",28,46,51,56
"Today, Around noon, I spent 8463 rupees on mango saplings.",43,57,28,32
"Recently, The expense for greenhouse setup was 42456 rupees.",26,42,47,52
"Recently, Amount paid for mango saplings was 30800 rupees.",26,40,45,50
"Today, I gave 7508 rupees as investment for goat.",44,48,14,18
"Yesterday, Amount paid for duck feed was 21497 rupees.",27,36,41,46
"Yesterday, Around noon, I spent 7655 rupees on duck feed.",47,56,32,36
"On Monday, Last week, tomato plants was sold for 42119 rupees.",22,35,49,54
"Today, Spent 7814 INR on purchasing tomato plants for my farm.",36,49,13,17
"Recently, I spent 42803 rupees on cow last month.",34,37,18,23
"Yesterday, The expense for irrigation pipe was 47995 rupees.",27,42,47,52
"In the evening, Sold mango saplings in the market and earned 15082 rupees.",21,35,61,66
"During the season, Harvested pesticide and sold for 43627 rupees.",29,38,52,57
"Recently, I invested 414 rupees for buying harvesting machine.",43,61,21,24
"Last month, Paid 43442 rupees to buy tractor repair.",37,51,17,22
Used 29284 rupees to buy harvesting machine.,25,43,5,10
"On Monday, The cost of poultry feed was 49649 rupees.",23,35,40,45
"Last month, Received 44055 rupees from selling pesticide.",47,56,21,26
"Just now, Bought tractor repair today and paid 12173 rupees.",17,31,47,52
"In the evening, Cost of greenhouse setup amounted to 9961 rupees.",24,40,53,57
"Just now, Paid 20854 rupees to buy harvesting machine.",35,53,15,20
I invested 20145 rupees for buying irrigation pipe.,35,50,11,16
"Recently, Purchased tomato plants at 24066 rupees.",20,33,37,42
"Yesterday, Sold greenhouse setup in the market and earned 5808 rupees.",16,32,58,62
"On Monday, Acquired wheat seeds by paying 7921 rupees.",20,31,42,46
"Recently, Around noon, I spent 10817 rupees on tomato plants.",47,60,31,36
"Yesterday, I spent 10988 rupees on harvesting machine last month.",35,53,19,24
"On Monday, Acquired mango saplings by paying 25303 rupees.",20,34,45,50
"Just now, Cost of irrigation pipe amounted to 27084 rupees.",18,33,46,51
"Today, I spent 47907 rupees on rice seeds last month.",31,41,15,20
"Yesterday, I invested 20591 rupees for buying banana plants.",46,59,22,27
"Recently, Spent 38279 INR on purchasing fertilizer for my farm.",40,50,16,21
"Early morning, Spent 29787 INR on purchasing fertilizer for my farm.",45,55,21,26
"Yesterday, I invested 38172 rupees for buying harvesting machine.",46,64,22,27
"Just now, Last week, poultry feed was sold for 15561 rupees.",21,33,47,52
"During the season, I spent 25857 rupees on wheat seeds last month.",43,54,27,32
"In the evening, Cost of fertilizer amounted to 47896 rupees.",24,34,47,52
"Just now, Harvested banana plants and sold for 12843 rupees.",20,33,47,52
"On Monday, I gave 39431 rupees as investment for fertilizer.",49,59,18,23
"Yesterday, I gave 33177 rupees as investment for cow.",49,52,18,23
"Early morning, The cost of harvesting machine was 37167 rupees.",27,45,50,55
"Just now, Purchased cow at 8394 rupees.",20,23,27,31
"Today, Used 16108 rupees to buy poultry feed.",32,44,12,17
"During the season, Around noon, I spent 48015 rupees on rice seeds.",56,66,40,45
"Yesterday, Invested 23733 for purchasing greenhouse setup.",41,57,20,25
"Recently, Invested 24986 for purchasing rice seeds.",40,50,19,24
"In the evening, I invested 28412 rupees for buying harvesting machine.",51,69,27,32
"Yesterday, I spent 43167 rupees on duck feed last month.",35,44,19,24
"On Monday, Cost of tomato plants amounted to 46616 rupees.",19,32,45,50
"In the evening, Amount paid for solar water pump was 16933 rupees.",32,48,53,58
"Yesterday, I gave 10061 rupees as investment for wheat seeds.",49,60,18,23
"In the evening, Around noon, I spent 39672 rupees on poultry feed.",53,65,37,42
"In the evening, Acquired onion seeds by paying 27367 rupees.",25,36,47,52
"During the season, The cost of organic compost was 4310 rupees.",31,46,51,55
Bought goat today and paid 38120 rupees.,7,11,27,32
"During the season, Paid 31437 rupees to buy pesticide.",44,53,24,29
"Last month, The cost of tractor repair was 39129 rupees.",24,38,43,48
Bought harvesting machine today and paid 20491 rupees.,7,25,41,46
"Just now, Harvest of wheat seeds brought in 30269 INR.",21,32,44,49
"Yesterday, Amount paid for mango saplings was 23978 rupees.",27,41,46,51
"On Monday, Sold pesticide in the market and earned 24969 rupees.",16,25,51,56
